Net generation United States all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M~ELEC.GEN.TSN-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M~ELEC.GEN.WND-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202111&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin=
15:26:58 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
Sep 2014,339880.57118,126110.38461,106581.58568,67534.5,16074.32674,11519.76842,2878.62126
Aug 2014,384334.97824,148451.62333,122348.42288,71128.746,19807.24668,10170.52076,3018.61669
Jul 2014,385773.27325,149627.05758,115081.26949,71940.126,24357.40238,12187.39242,2936.22665
Jun 2014,357838.22997,137576.92149,98467.60766,68138.232,25743.87767,15798.81712,3023.8867
May 2014,324718.20093,118785.80061,89119.67653,62947.43,26543.88511,15601.36684,2841.66641
Apr 2014,297625.29265,109280.59165,76781.87947,56384.588,25439.90661,18635.54917,2475.52102
Mar 2014,331817.54641,136442.60132,78150.91836,62397.08,24257.12925,17735.8829,2224.12366
Feb 2014,324344.12066,143294.48747,75942.31445,62638.95,17396.12893,14008.66045,1498.82093
Jan 2014,377249.83084,157097.36861,91060.93439,73162.609,21633.79467,17911.21433,1375.15155
Dec 2013,353021.24773,141859.66537,92936.2913,71293.578,21128.29918,13967.05881,
Nov 2013,314539.64185,120939.72975,84286.78492,64975.456,17676.83384,15803.25968,
Oct 2013,314925.46247,120996.39294,88587.40151,63183.533,17198.59414,13635.01809,
Sep 2013,340940.90155,133110.43729,102063.23334,65798.971,16961.1523,11674.08115,
Aug 2013,385285.74515,149426.0529,121156.39696,71344.379,21633.31561,9633.88368,
Jul 2013,394845.6208,152866.8527,120770.9808,70539.238,27254.5715,11093.61355,
Jun 2013,356822.64723,138283.21603,99615.06431,66429.69,27384.06656,13748.10576,
May 2013,322155.64042,119512.5,83815.59186,62848.155,28450.09411,16238.70213,
Apr 2013,299332.86831,111834.68254,78036.43182,56766.882,25097.10474,17476.27429,
Mar 2013,325398.83402,130633.56036,84725.25919,62947.389,20534.35802,15755.65337,
Feb 2013,309728.08,123546.80484,80283.07377,61483.385,20418.46514,14075.59068,
Jan 2013,348967.37792,138104.82108,88559.05007,71405.817,24828.52759,14738.50426,
Dec 2012,334634.74915,134078.90757,83989.0974,68583.669,22984.35228,14523.51758,
Nov 2012,305975.85101,128727.0657,80169.46107,56712.757,18733.31916,11648.4968,
Oct 2012,311651.9307,120999.33876,91725.37056,59743.218,16501.69662,12635.90112,
Sep 2012,334585.56266,125588.60805,108012.30069,64510.882,17603.96419,8789.86546,
Aug 2012,395699.74917,152181.05516,131735.86442,69602.111,23033.72581,8469.41899,
Jul 2012,414641.21748,160450.26253,138862.84998,69129.329,26491.04579,8823.083,
Jun 2012,360825.3809,131261.03605,115597.50323,65140.085,26657.66222,11972.15949,
May 2012,336516.15597,115982.64658,107351.81228,62081.445,28641.31224,12540.32427,
Apr 2012,295229.20493,96285.44067,94828.59637,55870.931,26295.39842,12709.03261,
Mar 2012,309089.55207,105525.54678,92250.65327,61728.613,25906.63425,14027.34496,
Feb 2012,309389.43252,113872.04689,90609.78234,63847.023,20283.9644,11051.71417,
Jan 2012,339526.48011,129090.98981,90760.88378,72381.186,23107.14392,13630.85627,
Dec 2011,335740.46276,132928.71614,86121.62582,71837.372,23731.94371,10655.77473,
Nov 2011,304102.15444,121462.71077,75441.29818,64473.88,20680.52743,12438.55312,
Oct 2011,308698.50358,126626.97282,78819.20708,63336.97,19787.38961,10525.42896,
Sep 2011,337931.3176,140941.1491,91739.07009,66848.854,21377.59172,6869.0293,
Aug 2011,406511.31471,171280.53388,119855.79257,71338.566,25763.57824,7473.59402,
Jul 2011,418692.75464,176585.81965,119623.59113,72344.85,31284.63456,7488.62905,
Jun 2011,367727.015,158055.21258,90691.11156,65270.134,32151.21433,10985.06912,
May 2011,323628.23805,137101.56497,75242.79679,57012.914,32586.92609,11772.16075,
Apr 2011,302400.72444,124488.2575,70028.99891,54547.338,31194.3065,12421.65683,
Mar 2011,318709.9409,134845.23138,65947.12043,65661.598,31134.47075,10544.64605,
Feb 2011,313126.60705,138311.15723,65923.98289,64789.078,24131.22605,10451.5619,
Jan 2011,362871.89295,170802.67931,74254.33381,72742.813,25531.09446,8550.4948,
Dec 2010,362119.08129,167258.08616,77573.32016,73683.304,23169.07145,9059.29736,
Nov 2010,306009.62912,135185.04538,69226.55984,62655.206,19561.55003,9747.6191,
Oct 2010,307920.69056,132269.83506,77738.33651,62750.833,17682.97635,7943.80761,
Sep 2010,346045.17182,148745.67169,93004.17649,69371.195,17265.20646,7105.5022,
Aug 2010,408884.15537,177745.32008,121151.26856,71574.103,20119.23218,6685.85505,
Jul 2010,409725.44035,179600.4991,114624.20192,71913.468,24516.76133,6723.89118,
Jun 2010,375759.47838,165491.48889,92268.43063,68301.32156,29853.82693,8049.02142,
May 2010,327936.49155,143272.49362,73665.43824,66658.365,25079.21697,8697.52487,
Apr 2010,287800.22656,126951.88534,64644.025,57611.073,19096.66257,9764.45598,
Mar 2010,312167.64032,144405.63319,63430.66033,64634.721,20885.6628,8589.07682,
Feb 2010,319734.72667,153044.15909,66198.08,65245.37,20589.82989,5431.85793,
Jan 2010,360957.16695,173320.16091,74172.73601,72569.341,22383.07243,6854.33658,
Dec 2009,350507.29527,166434.03556,71589.60705,70710.218,24729.80834,6906.05833,
Nov 2009,296634.66996,136809.57521,63285.13196,59069.208,21007.70089,6875.18302,
Oct 2009,307040.34065,139955.57738,72602.72548,58020.927,19691.06826,6813.62592,
Sep 2009,327400.61189,137144.64798,92126.61784,65751.794,17358.71392,4650.70788,
Aug 2009,381221.41693,163260.48308,109239.55406,72244.597,19580.41655,5464.47362,
Jul 2009,372542.22554,158233.86912,101893.83251,72948.979,23384.74817,4954.94132,
Jun 2009,347658.24126,148086.77111,84205.18154,69734.736,29233.39456,5599.42191,
May 2009,311305.87215,131673.05752,68145.64662,65395.452,29559.65512,6261.9611,
Apr 2009,289537.25513,125934.97312,61158.67362,59408.407,25769.8074,7457.69602,
Mar 2009,310602.96381,135530.3278,68202.74331,67240.567,21827.45353,7099.06292,
Feb 2009,300887.39769,140915.78476,62138.85332,64227.211,17812.03175,5852.17501,
Jan 2009,354992.63621,171925.15034,66390.11321,74102.489,23490.29569,5950.82465,
Dec 2008,343898.25447,167785.73046,64363.64603,72931.328,20861.49062,6615.89854,
Nov 2008,310046.2412,154281.19798,61454.19852,63408.145,15667.93401,4993.64564,
Oct 2008,318547.34311,151840.71519,73283.33855,62820.353,15469.94246,4756.40094,
Sep 2008,338056.12999,161356.34732,79136.02998,67053.867,16178.19232,3111.45182,
Aug 2008,388986.71877,180576.49295,99673.49348,72617.066,21229.2774,3264.40615,
Jul 2008,402900.33624,186733.45633,100320.87805,74318.27,25555.08636,4008.40059,
Jun 2008,373109.02691,171043.27903,84619.97663,70319.366,29177.42712,5140.3764,
May 2008,325244.80192,154915.90135,62270.44712,64825.901,27221.14742,5340.28392,
Apr 2008,305865.03122,146983.02391,63046.09796,57332.716,22233.93205,5225.28203,
Mar 2008,324629.84959,160743.24304,62170.57985,64716.468,21668.93847,4782.01995,
